No,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,Time
164,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.4,-88.0,2021-05-28T22:44:07
165,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.4,-88.0,2021-05-28T22:44:08
166,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.4,-88.0,2021-05-28T22:44:09
167,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.4,-88.0,2021-05-28T22:44:10
168,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.4,-88.0,2021-05-28T22:44:11
169,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.0,-88.0,2021-05-28T22:44:13
170,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.0,-88.0,2021-05-28T22:44:14
171,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.4,-88.0,2021-05-28T22:44:15
172,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.4,-88.0,2021-05-28T22:44:16
173,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.4,-88.0,2021-05-28T22:44:17
174,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.4,-88.0,2021-05-28T22:44:19
175,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.4,-88.0,2021-05-28T22:44:20
176,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.4,-88.0,2021-05-28T22:44:21
177,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:44:22
178,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:44:24
179,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.0,-88.0,2021-05-28T22:44:25
180,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:44:26
181,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:44:27
182,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:44:28
183,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:44:30
184,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,20.4,-88.0,2021-05-28T22:44:31
185,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,20.4,-88.0,2021-05-28T22:44:32
186,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:44:33
187,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:44:34
188,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.8,-88.0,2021-05-28T22:44:36
189,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.8,-88.0,2021-05-28T22:44:37
190,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.8,-88.0,2021-05-28T22:44:38
191,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.6,-88.0,2021-05-28T22:44:39
192,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.6,-88.0,2021-05-28T22:44:41
193,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.0,-88.0,2021-05-28T22:44:42
194,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.0,-88.0,2021-05-28T22:44:43
195,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.0,-88.0,2021-05-28T22:44:44
196,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.4,-88.0,2021-05-28T22:44:45
197,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.4,-88.0,2021-05-28T22:44:47
198,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.4,-88.0,2021-05-28T22:44:48
199,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.8,-88.0,2021-05-28T22:44:49
200,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.8,-88.0,2021-05-28T22:44:50
201,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.2,-88.0,2021-05-28T22:44:52
202,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.2,-88.0,2021-05-28T22:44:53
203,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.2,-88.0,2021-05-28T22:44:54
204,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.4,-88.0,2021-05-28T22:44:55
205,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.4,-88.0,2021-05-28T22:44:56
206,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.2,-88.0,2021-05-28T22:44:58
207,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.2,-88.0,2021-05-28T22:44:59
208,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:45:00
209,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:45:01
210,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:45:02
211,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.0,-88.0,2021-05-28T22:45:04
212,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.0,-88.0,2021-05-28T22:45:05
213,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.0,-88.0,2021-05-28T22:45:06
214,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.6,-88.0,2021-05-28T22:45:07
215,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.4,-88.0,2021-05-28T22:45:09
216,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.4,-88.0,2021-05-28T22:45:10
217,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.4,-88.0,2021-05-28T22:45:11
218,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.4,-88.0,2021-05-28T22:45:12
219,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,10.2,-88.0,2021-05-28T22:45:13
220,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,10.2,-88.0,2021-05-28T22:45:15
221,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.0,-88.0,2021-05-28T22:45:16
222,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.0,-88.0,2021-05-28T22:45:17
223,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,20.6,-88.0,2021-05-28T22:45:18
224,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,20.6,-88.0,2021-05-28T22:45:20
